time,total_energy,kinetic_energy,potential_energy,linear_momentum,angular_momentum,com_drift,shadow_energy,timestep
6.25,-1.7486657629528262e-07,1.7409276797202491e-07,-3.4895934426730753e-07,5.0828180311245148e-21,3.1538463453626105e-05,6.4954698301677763e-19,-1.7486653367354702e-07,0.025000000000000001
6.5,-1.7486658183655209e-07,1.7409295761044899e-07,-3.4895953944700109e-07,3.3881317890172014e-21,3.1538463418836408e-05,2.1693813098976394e-19,-1.7486653921745027e-07,0.025000000000000001
6.75,-1.7486658759369353e-07,1.7409315466309429e-07,-3.4895974225678782e-07,2.5478451946664096e-21,3.1538463383998499e-05,4.3324271149021996e-19,-1.7486654497732804e-07,0.025000000000000001
7,-1.7486659356664043e-07,1.7409335913021596e-07,-3.489599526968564e-07,3.3907157431068975e-21,3.1538463349112844e-05,6.4954698301677763e-19,-1.7486655095311391e-07,0.025000000000000001
7.25,-1.7486659975532276e-07,1.740935710120711e-07,-3.4896017076739385e-07,2.5416502356810243e-21,3.1538463314179999e-05,6.4958222224007853e-19,-1.7486655714473772e-07,0.025000000000000001
7.5,-1.748666061596674e-07,1.7409379030891866e-07,-3.4896039646858607e-07,1.6942726770415048e-21,3.1538463279200588e-05,2.1693813098976394e-19,-1.7486656355212639e-07,0.025000000000000001
7.75,-1.7486661277960086e-07,1.7409401702101661e-07,-3.4896062980061748e-07,5.082197683525802e-21,3.1538463244175016e-05,4.3308417905404425e-19,-1.7486657017520633e-07,0.025000000000000001
8,-1.748666196150461e-07,1.7409425114862245e-07,-3.4896087076366855e-07,4.2352474535249794e-21,3.1538463209103854e-05,6.4958222224007853e-19,-1.7486657701390053e-07,0.025000000000000001
8.25,-1.7486662666592171e-07,1.7409449269199498e-07,-3.4896111935791669e-07,2.5423393099069641e-21,3.1538463173987766e-05,6.4968792844167982e-19,-1.748665840681275e-07,0.025000000000000001
8.5,-1.7486663393214665e-07,1.7409474165138746e-07,-3.4896137558353411e-07,5.0822666147760477e-21,3.1538463138827252e-05,6.4958222224007853e-19,-1.7486659133780616e-07,0.025000000000000001
8.75,-1.7486664141363604e-07,1.7409499802705126e-07,-3.489616394406873e-07,1.6942726770415048e-21,3.1538463103622896e-05,4.3303132201118505e-19,-1.7486659882285164e-07,0.025000000000000001
9,-1.7486664911030304e-07,1.7409526181923364e-07,-3.4896191092953667e-07,3.3882351850160968e-21,3.1538463068375185e-05,4.3303132201118505e-19,-1.7486660652317699e-07,0.025000000000000001
