time,total_energy,kinetic_energy,potential_energy,linear_momentum,angular_momentum,com_drift,shadow_energy,timestep
0,-1.0402339411250635e-09,1.0402279520624034e-09,-2.0804618931874669e-09,1.5185017519551102e-23,9.6124072087881816e-08,4.7350299968862912e-22,-1.0402339411250635e-09,0.10000000000000001
1,-1.0402339411250827e-09,1.0402279866627863e-09,-2.080461927787869e-09,2.6819665150408043e-23,9.612407208788179e-08,8.5525967311387284e-22,-1.0402339411250827e-09,0.10000000000000001
2,-1.0402339411251019e-09,1.0402280251310418e-09,-2.0804619662561437e-09,2.7309490377964328e-23,9.6124072087881803e-08,2.8508655770462428e-22,-1.0402339411251019e-09,0.10000000000000001
3,-1.0402339411251205e-09,1.0402280674288537e-09,-2.0804620085539743e-09,2.6288211111474249e-23,9.6124072087881777e-08,5.8473307016026386e-22,-1.0402339411251205e-09,0.10000000000000001
4,-1.0402339411251371e-09,1.0402281134984654e-09,-2.0804620546236024e-09,1.2022608515700158e-23,9.6124072087881803e-08,9.9463810643675712e-22,-1.0402339411251371e-09,0.10000000000000001
5,-1.0402339411251522e-09,1.0402281632606226e-09,-2.0804621043857748e-09,2.4884254620827201e-23,9.612407208788183e-08,1.9087516140411278e-22,-1.0402339411251522e-09,0.10000000000000001
6,-1.0402339411251638e-09,1.0402282166122733e-09,-2.080462157737437e-09,1.6377340571264066e-23,9.6124072087881869e-08,8.5525967311387284e-22,-1.0402339411251638e-09,0.10000000000000001
7,-1.0402339411251706e-09,1.040228273424e-09,-2.0804622145491706e-09,1.7449394137725899e-23,9.6124072087881896e-08,8.7630042547969518e-22,-1.0402339411251706e-09,0.10000000000000001
8,-1.040233941125178e-09,1.0402283335372007e-09,-2.0804622746623788e-09,1.1136259809661315e-23,9.6124072087881777e-08,6.462058352066057e-22,-1.040233941125178e-09,0.10000000000000001
9,-1.0402339411251739e-09,1.0402283967610828e-09,-2.0804623378862567e-09,1.3078873860004176e-24,9.6124072087881843e-08,1.0169296833699585e-21,-1.0402339411251739e-09,0.10000000000000001
10,-1.0402339411251627e-09,1.0402284628695596e-09,-2.0804624039947224e-09,3.1889395053777337e-23,9.6124072087881909e-08,7.5240803694084625e-22,-1.0402339411251627e-09,0.10000000000000001
11,-1.0402339411251437e-09,1.0402285315983246e-09,-2.0804624727234683e-09,1.7547150612068643e-23,9.6124072087881883e-08,6.0360025878925944e-22,-1.0402339411251437e-09,0.10000000000000001
12,-1.0402339411251133e-09,1.0402286026424452e-09,-2.0804625437675585e-09,3.5252357078704215e-23,9.6124072087881869e-08,6.462058352066057e-22,-1.0402339411251133e-09,0.10000000000000001
13,-1.0402339411250717e-09,1.0402286756550597e-09,-2.0804626167801314e-09,2.4552080597280415e-23,9.6124072087881843e-08,6.0360025878925953e-22,-1.0402339411250717e-09,0.10000000000000001
14,-1.0402339411250178e-09,1.0402287502479443e-09,-2.0804626913729621e-09,5.8782227052121718e-24,9.6124072087881843e-08,7.2005157612245056e-22,-1.0402339411250178e-09,0.10000000000000001
15,-1.0402339411249516e-09,1.040228825994936e-09,-2.0804627671198876e-09,1.7281939120496354e-23,9.6124072087881843e-08,2.2460219369071001e-22,-1.0402339411249516e-09,0.10000000000000001
16,-1.0402339411248755e-09,1.0402289024392844e-09,-2.0804628435641599e-09,1.5889620686918526e-23,9.6124072087881856e-08,8.7630042547969518e-22,-1.0402339411248755e-09,0.10000000000000001
17,-1.0402339411247938e-09,1.0402289791059071e-09,-2.0804629202307009e-09,1.6377340571264066e-23,9.6124072087881843e-08,1.3496912098892491e-21,-1.0402339411247938e-09,0.10000000000000001
18,-1.0402339411247094e-09,1.0402290555190873e-09,-2.0804629966437968e-09,1.791853451301069e-23,9.6124072087881922e-08,7.4867397896903338e-22,-1.0402339411247094e-09,0.10000000000000001
19,-1.0402339411246327e-09,1.040229131225305e-09,-2.0804630723499377e-09,2.1089050423367605e-23,9.6124072087881936e-08,1.5048160738816925e-21,-1.0402339411246327e-09,0.10000000000000001
20,-1.0402339411245709e-09,1.0402292058196852e-09,-2.0804631469442561e-09,2.0429854065264324e-23,9.6124072087881922e-08,4.4920438738142001e-22,-1.0402339411245709e-09,0.10000000000000001
21,-1.0402339411245303e-09,1.0402292789731658e-09,-2.0804632200976962e-09,2.0683650803380847e-23,9.6124072087881856e-08,9.3808580687107693e-22,-1.0402339411245303e-09,0.10000000000000001
22,-1.040233941124514e-09,1.0402293504564875e-09,-2.0804632915810015e-09,2.7759890511559694e-23,9.6124072087881869e-08,4.5540060266821134e-22,-1.040233941124514e-09,0.10000000000000001
23,-1.0402339411245252e-09,1.040229420156882e-09,-2.0804633612814071e-09,2.4204752104746071e-23,9.6124072087881843e-08,9.9463810643675712e-22,-1.0402339411245252e-09,0.10000000000000001
24,-1.0402339411245614e-09,1.0402294880842613e-09,-2.0804634292088227e-09,2.8678245665868223e-23,9.6124072087881843e-08,6.1737237888815596e-22,-1.0402339411245614e-09,0.10000000000000001
25,-1.0402339411246178e-09,1.0402295543656753e-09,-2.0804634954902931e-09,2.0282799219471429e-23,9.6124072087881883e-08,6.3966732803331998e-22,-1.0402339411246178e-09,0.10000000000000001
26,-1.0402339411246881e-09,1.0402296192291907e-09,-2.0804635603538788e-09,1.321548853490723e-23,9.6124072087881843e-08,1.161048279753562e-21,-1.0402339411246881e-09,0.10000000000000001
27,-1.0402339411247642e-09,1.040229682980453e-09,-2.0804636241052172e-09,2.0683650803380847e-23,9.6124072087881843e-08,6.7795312224663898e-22,-1.0402339411247642e-09,0.10000000000000001
28,-1.040233941124842e-09,1.0402297459762268e-09,-2.0804636871010688e-09,8.4861635824867371e-24,9.612407208788183e-08,6.696343639840026e-22,-1.040233941124842e-09,0.10000000000000001
29,-1.0402339411249106e-09,1.0402298085991477e-09,-2.0804637497240584e-09,2.1093105620102206e-23,9.6124072087881896e-08,7.5797463345085482e-22,-1.0402339411249106e-09,0.10000000000000001
30,-1.0402339411249735e-09,1.0402298712368739e-09,-2.0804638123618474e-09,2.0345952872723344e-23,9.6124072087881869e-08,6.1963797321334926e-22,-1.0402339411249735e-09,0.10000000000000001
31,-1.040233941125026e-09,1.0402299342673472e-09,-2.0804638753923732e-09,1.1994118882018901e-23,9.6124072087881922e-08,8.2183808367361283e-22,-1.040233941125026e-09,0.10000000000000001
32,-1.0402339411250699e-09,1.0402299980504083e-09,-2.0804639391754782e-09,3.262123898221751e-23,9.6124072087881896e-08,1.3774380494847395e-21,-1.0402339411250699e-09,0.10000000000000001
33,-1.0402339411251083e-09,1.0402300629249145e-09,-2.0804640040500228e-09,2.5035028129758104e-23,9.6124072087881856e-08,5.3203282514013077e-22,-1.0402339411251083e-09,0.10000000000000001
34,-1.0402339411251422e-09,1.0402301292097975e-09,-2.0804640703349397e-09,1.6314551813942706e-23,9.6124072087881883e-08,7.8699845177597631e-22,-1.0402339411251422e-09,0.10000000000000001
35,-1.040233941125176e-09,1.0402301972072473e-09,-2.0804641383324232e-09,2.0062327462739809e-23,9.6124072087881869e-08,8.7630042547969518e-22,-1.040233941125176e-09,0.10000000000000001
36,-1.0402339411252101e-09,1.0402302672063096e-09,-2.0804642083315196e-09,2.7095689559149531e-23,9.6124072087881843e-08,8.8108463078053678e-22,-1.0402339411252101e-09,0.10000000000000001
37,-1.0402339411252461e-09,1.040230339485488e-09,-2.080464280610734e-09,2.5471925308156442e-23,9.6124072087881843e-08,7.2005157612245056e-22,-1.0402339411252461e-09,0.10000000000000001
38,-1.0402339411252841e-09,1.0402304143134539e-09,-2.080464355438738e-09,1.5634588876148674e-23,9.6124072087881843e-08,1.0913704890727141e-21,-1.0402339411252841e-09,0.10000000000000001
39,-1.0402339411253238e-09,1.0402304919474927e-09,-2.0804644330728165e-09,2.2260996369632105e-23,9.6124072087881909e-08,2.3675149984431456e-22,-1.0402339411253238e-09,0.10000000000000001
40,-1.040233941125365e-09,1.0402305726298085e-09,-2.0804645137551734e-09,1.7956679387501535e-23,9.6124072087881988e-08,5.9187874961078628e-22,-1.040233941125365e-09,0.10000000000000001
41,-1.0402339411254092e-09,1.0402306565821729e-09,-2.0804645977075821e-09,2.252074224769457e-23,9.6124072087881909e-08,5.6275189083086023e-22,-1.0402339411254092e-09,0.10000000000000001
42,-1.0402339411254495e-09,1.0402307439995992e-09,-2.0804646851250488e-09,1.5889620686918526e-23,9.6124072087881962e-08,3.7057471319884274e-22,-1.0402339411254495e-09,0.10000000000000001
43,-1.0402339411254897e-09,1.0402308350437425e-09,-2.0804647761692321e-09,2.0429854065264324e-23,9.6124072087881922e-08,8.3704295498000322e-22,-1.0402339411254897e-09,0.10000000000000001
44,-1.0402339411255269e-09,1.0402309298366621e-09,-2.0804648709621889e-09,1.5252456863286803e-23,9.6124072087881936e-08,1.161048279753562e-21,-1.0402339411255269e-09,0.10000000000000001
45,-1.0402339411255594e-09,1.0402310284553513e-09,-2.0804649695809107e-09,1.5568804900468147e-23,9.6124072087881909e-08,1.3528022963293951e-21,-1.0402339411255594e-09,0.10000000000000001
46,-1.0402339411255864e-09,1.0402311309273147e-09,-2.0804650720529011e-09,3.3666352549994733e-23,9.6124072087881936e-08,6.7795312224663898e-22,-1.0402339411255864e-09,0.10000000000000001
47,-1.0402339411256102e-09,1.0402312372272349e-09,-2.0804651783528452e-09,1.6512563842867208e-23,9.6124072087881896e-08,4.9942783604788134e-22,-1.0402339411256102e-09,0.10000000000000001
48,-1.040233941125628e-09,1.0402313472747088e-09,-2.0804652884003368e-09,2.6317476245157916e-23,9.6124072087881883e-08,9.4700599937725823e-22,-1.040233941125628e-09,0.10000000000000001
49,-1.0402339411256414e-09,1.040231460932882e-09,-2.0804654020585235e-09,2.1838194814388176e-23,9.6124072087881909e-08,9.2605856833223403e-22,-1.0402339411256414e-09,0.10000000000000001
50,-1.0402339411256505e-09,1.040231578007852e-09,-2.0804655191335025e-09,2.1649388433897328e-23,9.6124072087881869e-08,1.2221973723105816e-21,-1.0402339411256505e-09,0.10000000000000001
51,-1.0402339411256534e-09,1.0402316982486295e-09,-2.0804656393742829e-09,1.4116704175708794e-23,9.6124072087881869e-08,1.05480697886811e-21,-1.0402339411256534e-09,0.10000000000000001
52,-1.0402339411256526e-09,1.0402318213475249e-09,-2.0804657624731775e-09,2.216859474062513e-23,9.6124072087881909e-08,3.3897656112331949e-22,-1.0402339411256526e-09,0.10000000000000001
53,-1.0402339411256497e-09,1.0402319469408061e-09,-2.0804658880664559e-09,2.3175823526686763e-23,9.6124072087881803e-08,1.1317117922441503e-21,-1.0402339411256497e-09,0.10000000000000001
54,-1.0402339411256386e-09,1.0402320746095369e-09,-2.0804660157351755e-09,2.7450060602286324e-23,9.6124072087881856e-08,6.462058352066057e-22,-1.0402339411256386e-09,0.10000000000000001
55,-1.0402339411256251e-09,1.0402322038804824e-09,-2.0804661450061075e-09,1.3241350572432105e-23,9.612407208788179e-08,1.0797529679113992e-21,-1.0402339411256251e-09,0.10000000000000001
56,-1.0402339411256075e-09,1.040232334227082e-09,-2.0804662753526896e-09,2.5481996580500484e-23,9.6124072087881763e-08,3.2201685430313277e-22,-1.0402339411256075e-09,0.10000000000000001
57,-1.0402339411255835e-09,1.0402324650704054e-09,-2.080466406195989e-09,1.5830300667335548e-23,9.6124072087881763e-08,1.3234811185672953e-21,-1.0402339411255835e-09,0.10000000000000001
58,-1.04023394112555e-09,1.0402325957800991e-09,-2.0804665369056491e-09,1.2599239725546764e-23,9.6124072087881856e-08,1.3610637611903045e-21,-1.04023394112555e-09,0.10000000000000001
59,-1.0402339411255134e-09,1.0402327256753211e-09,-2.0804666668008345e-09,2.848973827820814e-23,9.6124072087881869e-08,1.0427821872105074e-21,-1.0402339411255134e-09,0.10000000000000001
60,-1.0402339411254669e-09,1.0402328540256907e-09,-2.0804667951511576e-09,1.7316547529882034e-23,9.6124072087881962e-08,6.462058352066057e-22,-1.0402339411254669e-09,0.10000000000000001
61,-1.0402339411254138e-09,1.0402329800522245e-09,-2.0804669211776383e-09,1.408637824556918e-23,9.6124072087881988e-08,9.2340672816596648e-22,-1.0402339411254138e-09,0.10000000000000001
62,-1.0402339411253544e-09,1.0402331029283492e-09,-2.0804670440537036e-09,2.3194268275747722e-23,9.6124072087881988e-08,7.2005157612245056e-22,-1.0402339411253544e-09,0.10000000000000001
63,-1.0402339411252856e-09,1.0402332217809777e-09,-2.0804671629062632e-09,2.4552080597280415e-23,9.6124072087881936e-08,3.5611234805209956e-22,-1.0402339411252856e-09,0.10000000000000001
64,-1.0402339411252064e-09,1.040233335691716e-09,-2.0804672768169224e-09,2.1684914849608715e-23,9.6124072087881962e-08,5.6585589612207515e-22,-1.0402339411252064e-09,0.10000000000000001
65,-1.0402339411251176e-09,1.040233443698241e-09,-2.0804673848233587e-09,1.6876309060556587e-23,9.6124072087881949e-08,4.9942783604788134e-22,-1.0402339411251176e-09,0.10000000000000001
