metric,fixed,adaptive,fixed_over_adaptive
max_dE_over_E0,1.0655507160458864e-13,7.156683913741028e-15,14.88888888888889
final_dE_over_E0,8.76693779433276e-14,2.7831548553437333e-15,31.499999999999996
max_dL_over_L0,4.681306601508179e-15,5.507419531186093e-15,0.85
final_dL_over_L0,4.681306601508179e-15,5.507419531186093e-16,8.5
max_dP,5.283363729137728e-22,4.741459977530238e-22,1.114290483137171
final_dP,4.901778509291983e-22,1.103249432381897e-22,4.44303741784768
max_dRcm,1.5527634496468236e-21,1.904641952425082e-21,0.8152521515499384
final_dRcm,4.788809391662461e-23,4.280198529550078e-22,0.11188288016551061
